ZIP_CODE,INCIDENT_DATE_TIME,Group_Count
11432.0,2016,3494
11373.0,2016,3458
10011.0,2016,3440
10459.0,2016,3353
10031.0,2016,3333
10036.0,2016,3331
11368.0,2016,3296
11214.0,2016,3260
11220.0,2016,3235
10026.0,2016,3201
11237.0,2016,3200
11434.0,2016,3193
10462.0,2016,3153
11354.0,2016,3120
11210.0,2016,3106
11217.0,2016,3040
10022.0,2016,3025
11435.0,2016,2981
11223.0,2016,2953
10304.0,2016,2940
10024.0,2016,2918
11377.0,2016,2916
11205.0,2016,2906
11209.0,2016,2891
11215.0,2016,2890
10475.0,2016,2813
10461.0,2016,2813
10013.0,2016,2793
11225.0,2016,2789
10301.0,2016,2743
10465.0,2016,2669
11433.0,2016,2663
10018.0,2016,2589
11231.0,2016,2582
11238.0,2016,2578
10023.0,2016,2553
11218.0,2016,2497
11219.0,2016,2491
10033.0,2016,2483
11375.0,2016,2447
10306.0,2016,2403
11204.0,2016,2398
10010.0,2016,2335
10030.0,2016,2328
10017.0,2016,2263
10039.0,2016,2247
10040.0,2016,2213
11355.0,2016,2192
10312.0,2016,2129
10012.0,2016,2122
10305.0,2016,2121
10014.0,2016,2119
11413.0,2016,2114
11222.0,2016,2060
10034.0,2016,2016
10128.0,2016,2000
11420.0,2016,1916
11106.0,2016,1895
11419.0,2016,1811
11372.0,2016,1784
11412.0,2016,1781
11418.0,2016,1735
11367.0,2016,1717
11378.0,2016,1640
11365.0,2016,1640
11374.0,2016,1585
11414.0,2016,1576
10038.0,2016,1558
10028.0,2016,1543
10303.0,2016,1524
10310.0,2016,1513
11228.0,2016,1511
11103.0,2016,1502
10037.0,2016,1458
11357.0,2016,1445
10309.0,2016,1442
11422.0,2016,1422
11423.0,2016,1374
11102.0,2016,1370
10474.0,2016,1345
11105.0,2016,1319
10007.0,2016,1304
11232.0,2016,1289
11364.0,2016,1254
10471.0,2016,1236
11417.0,2016,1234
11429.0,2016,1229
11358.0,2016,1176
11421.0,2016,1174
10308.0,2016,1157
11694.0,2016,1150
11369.0,2016,1131
11436.0,2016,1116
11379.0,2016,1111
11361.0,2016,1106
10302.0,2016,1100
11411.0,2016,1069
11239.0,2016,1055
11416.0,2016,1022
11426.0,2016,1008
11360.0,2016,921
11692.0,2016,917
11427.0,2016,889
11693.0,2016,879
11356.0,2016,866
11362.0,2016,812
10004.0,2016,767
11104.0,2016,733
11415.0,2016,638
10470.0,2016,628
11428.0,2016,600
11370.0,2016,588
10005.0,2016,561
10307.0,2016,541
10006.0,2016,505
10464.0,2016,402
11004.0,2016,387
11366.0,2016,373
11363.0,2016,314
11697.0,2016,213
11430.0,2016,197
10280.0,2016,189
11005.0,2016,143
10020.0,2016,132
11251.0,2016,107
11451.0,2016,18
11371.0,2016,11
10044.0,2016,3
99999.0,2017,10512
10456.0,2017,7808
11212.0,2017,7477
10029.0,2017,7253
11206.0,2017,7023
11207.0,2017,7000
10002.0,2017,6505
11201.0,2017,6155
10451.0,2017,5977
10027.0,2017,5716
11208.0,2017,5601
10467.0,2017,5425
10453.0,2017,5336
11226.0,2017,5320
10457.0,2017,5297
11211.0,2017,5288
11233.0,2017,5217
10458.0,2017,5199
11221.0,2017,5073
10025.0,2017,4786
10009.0,2017,4562
10460.0,2017,4462
10035.0,2017,4455
10003.0,2017,4418
10454.0,2017,4380
11236.0,2017,4352
10021.0,2017,4321
11234.0,2017,4283
10455.0,2017,4270
10452.0,2017,4253
11213.0,2017,4008
11203.0,2017,3990
11101.0,2017,3983
10314.0,2017,3940
10016.0,2017,3843
10472.0,2017,3814
10001.0,2017,3734
11224.0,2017,3703
10468.0,2017,3676
11385.0,2017,3631
10469.0,2017,3610
10463.0,2017,3605
10032.0,2017,3595
10473.0,2017,3583
11229.0,2017,3563
11691.0,2017,3562
10019.0,2017,3540
11235.0,2017,3523
11230.0,2017,3516
10011.0,2017,3471
11216.0,2017,3407
10459.0,2017,3369
11373.0,2017,3358
10466.0,2017,3335
11368.0,2017,3324
11217.0,2017,3320
10036.0,2017,3308
11214.0,2017,3300
10026.0,2017,3273
11432.0,2017,3270
10031.0,2017,3254
10462.0,2017,3176
11434.0,2017,3170
11220.0,2017,3148
11215.0,2017,3071
11210.0,2017,3065
11435.0,2017,3034
11354.0,2017,3028
11377.0,2017,2998
11205.0,2017,2919
11223.0,2017,2912
11237.0,2017,2904
10304.0,2017,2884
10024.0,2017,2864
11209.0,2017,2840
10022.0,2017,2782
10301.0,2017,2713
10023.0,2017,2705
10475.0,2017,2702
10461.0,2017,2680
10013.0,2017,2669
11225.0,2017,2647
10465.0,2017,2607
10033.0,2017,2568
11238.0,2017,2558
10018.0,2017,2536
11433.0,2017,2488
11231.0,2017,2485
11218.0,2017,2434
11375.0,2017,2420
11204.0,2017,2365
11219.0,2017,2343
10039.0,2017,2337
10306.0,2017,2322
10012.0,2017,2285
10010.0,2017,2257
10030.0,2017,2236
10312.0,2017,2119
10040.0,2017,2116
10017.0,2017,2107
11355.0,2017,2089
11413.0,2017,2050
10305.0,2017,2011
10014.0,2017,2001
11420.0,2017,1919
10034.0,2017,1913
11106.0,2017,1900
10128.0,2017,1898
11222.0,2017,1893
11419.0,2017,1879
11372.0,2017,1763
11412.0,2017,1755
11418.0,2017,1714
11367.0,2017,1695
11378.0,2017,1675
11374.0,2017,1584
11365.0,2017,1510
10303.0,2017,1499
10028.0,2017,1494
10038.0,2017,1491
11103.0,2017,1483
10310.0,2017,1469
11414.0,2017,1468
10309.0,2017,1430
11228.0,2017,1394
11357.0,2017,1385
11105.0,2017,1366
11102.0,2017,1359
11423.0,2017,1358
11422.0,2017,1333
11232.0,2017,1281
10037.0,2017,1278
10007.0,2017,1266
11429.0,2017,1240
11417.0,2017,1227
11364.0,2017,1219
10474.0,2017,1198
10471.0,2017,1175
11361.0,2017,1141
10302.0,2017,1140
11694.0,2017,1106
11358.0,2017,1096
10308.0,2017,1088
11426.0,2017,1075
11379.0,2017,1072
11436.0,2017,1070
11421.0,2017,1042
11369.0,2017,986
11239.0,2017,976
11411.0,2017,974
11360.0,2017,942
11416.0,2017,892
11427.0,2017,873
11692.0,2017,863
11356.0,2017,837
11693.0,2017,819
10004.0,2017,810
11362.0,2017,786
11104.0,2017,758
11415.0,2017,660
10005.0,2017,649
11428.0,2017,614
11370.0,2017,607
10470.0,2017,574
10307.0,2017,544
10006.0,2017,455
11366.0,2017,423
10464.0,2017,411
11004.0,2017,358
11363.0,2017,329
11697.0,2017,261
10280.0,2017,253
11430.0,2017,171
10020.0,2017,153
11005.0,2017,148
11251.0,2017,92
11371.0,2017,7
11451.0,2017,5
10044.0,2017,3
